sensor,time,acc_x,acc_y,acc_z,trial_status
Sensor_0x1D,609902,-0.532,-0.061,-0.682,
Sensor_0x1D,609936,0.018,-0.211,-0.842,
Sensor_0x1D,609971,0.018,-0.131,-0.682,
Sensor_0x1D,610006,-0.132,0.019,-0.842,
Sensor_0x1D,610041,-0.212,-0.061,-0.682,
Sensor_0x1D,610076,-0.132,0.019,-0.212,
Sensor_0x1D,610109,-0.372,0.019,-0.912,
Sensor_0x1D,610144,-0.132,0.099,-0.372,
Sensor_0x1D,610179,-0.062,-0.131,-0.912,
Sensor_0x1D,610214,-0.132,0.099,-0.372,
Sensor_0x1D,610249,-0.292,0.179,-0.602,
Sensor_0x1D,610282,0.258,0.179,-0.762,
Sensor_0x1D,610317,0.178,-0.211,-1.072,
Sensor_0x1D,610352,0.098,0.099,-0.912,
Sensor_0x1D,610387,-0.212,0.019,-0.522,
Sensor_0x1D,610422,-0.062,0.019,-0.682,
Sensor_0x1D,610455,0.098,0.019,-0.602,
Sensor_0x1D,610490,-3.592,2.919,-15.982,
Sensor_0x1D,610524,-0.602,-1.151,-20.612,
Sensor_0x1D,610557,9.748,-7.821,37.288,
Sensor_0x1D,610591,-4.532,5.979,-3.432,
Sensor_0x1D,610624,-7.902,4.179,-35.752,
Sensor_0x1D,610658,9.038,-9.391,23.478,
Sensor_0x1D,610691,-1.002,5.039,7.718,
Sensor_0x1D,610724,-10.182,6.059,-38.492,
Sensor_0x1D,610758,8.418,-9.311,22.858,
Sensor_0x1D,610791,2.608,2.609,18.378,
Sensor_0x1D,610825,-11.432,7.709,-36.692,
Sensor_0x1D,610858,7.078,-8.061,12.188,
Sensor_0x1D,610891,6.608,0.019,29.528,
Sensor_0x1D,610925,-11.432,8.339,-30.412,
Sensor_0x1D,610958,5.038,-7.041,-0.372,
Sensor_0x1D,610992,8.418,-3.041,36.588,
Sensor_0x1D,611025,-9.942,8.809,-21.232,
Sensor_0x1D,611059,-1.232,-1.701,-21.392,
Sensor_0x1D,611092,9.748,-7.981,36.038,
Sensor_0x1D,611126,-4.062,6.999,-0.682,
Sensor_0x1D,611160,-8.692,4.179,-36.382,
Sensor_0x1D,611193,8.728,-9.711,20.818,
Sensor_0x1D,611227,2.848,3.159,20.738,
Sensor_0x1D,611260,-11.042,6.219,-38.022,
Sensor_0x1D,611293,7.238,-8.531,9.048,
Sensor_0x1D,611327,3.078,2.689,21.048,
Sensor_0x1D,611360,-12.222,7.399,-35.362,
Sensor_0x1D,611393,7.238,-8.451,8.808,
Sensor_0x1D,611427,6.218,-0.531,31.088,
Sensor_0x1D,611460,-11.432,8.179,-28.692,
Sensor_0x1D,611494,4.568,-6.881,-2.412,
Sensor_0x1D,611527,8.338,-3.671,37.678,
Sensor_0x1D,611561,-9.632,8.419,-19.592,
Sensor_0x1D,611594,-1.862,-0.681,-22.962,
Sensor_0x1D,611628,10.058,-8.141,35.488,
Sensor_0x1D,611661,-3.902,6.849,1.278,
Sensor_0x1D,611695,-5.942,2.219,-32.222,
Sensor_0x1D,611728,9.278,-9.781,28.268,
Sensor_0x1D,611762,3.708,2.379,21.988,
Sensor_0x1D,611795,-11.902,7.709,-34.652,
Sensor_0x1D,611829,4.968,-6.801,-3.902,
Sensor_0x1D,611862,6.218,-1.001,32.038,
Sensor_0x1D,611896,-11.352,8.179,-27.432,
Sensor_0x1D,611929,4.258,-6.331,-3.822,
Sensor_0x1D,611963,8.338,-4.061,37.448,
Sensor_0x1D,611996,-9.392,8.259,-18.172,
Sensor_0x1D,612029,-2.332,-0.921,-24.692,
Sensor_0x1D,612063,9.438,-7.121,37.368,
Sensor_0x1D,612096,-6.492,8.179,-7.502,
Sensor_0x1D,612130,-6.332,2.609,-33.392,
Sensor_0x1D,612163,9.748,-8.691,34.148,
Sensor_0x1D,612197,-2.882,6.769,4.028,
Sensor_0x1D,612230,-6.882,2.849,-33.792,
Sensor_0x1D,612263,9.038,-9.711,26.148,
Sensor_0x1D,612296,-11.902,7.949,-32.222,
Sensor_0x1D,612329,3.628,-5.551,-7.822,
Sensor_0x1D,612364,6.298,-8.141,3.708,
Sensor_0x1D,612398,7.238,-1.781,34.548,
Sensor_0x1D,612430,-3.982,0.729,-27.752,
Sensor_0x1D,612463,9.588,-7.741,36.818,
Sensor_0x1D,612498,9.038,-5.231,37.678,
Sensor_0x1D,612531,-8.452,8.259,-14.882,
Sensor_0x1D,612563,9.358,-9.471,31.718,
Sensor_0x1D,612597,-1.862,5.589,7.478,
Sensor_0x1D,612630,-9.942,5.979,-38.342,
Sensor_0x1D,612665,-7.432,3.549,-35.042,
Sensor_0x1D,612697,1.908,3.469,18.148,
Sensor_0x1D,612731,-11.982,7.319,-36.452,
Sensor_0x1D,612764,5.908,-7.741,0.888,
Sensor_0x1D,612797,5.508,0.489,29.208,
Sensor_0x1D,612831,-10.412,8.259,-22.332,
Sensor_0x1D,612865,2.768,-4.451,-10.882,
Sensor_0x1D,612898,8.808,-5.861,37.918,
Sensor_0x1D,612931,-10.022,8.649,-21.702,
Sensor_0x1D,612965,-0.922,-1.781,-21.312,
Sensor_0x1D,612998,7.628,-3.351,36.348,
Sensor_0x1D,613031,-10.022,8.339,-20.532,
Sensor_0x53,613043,0.175,0.196,-0.12,
Sensor_0x1D,613065,-1.082,-1.471,-22.022,
Sensor_0x53,613076,-0.055,-0.194,-0.2,
Sensor_0x1D,613098,10.218,-8.221,35.798,
Sensor_0x53,613111,0.575,0.116,0.12,
Sensor_0x1D,613132,-4.062,6.849,-0.132,
Sensor_0x53,613144,0.105,0.116,0.27,
Sensor_0x1D,613165,-5.312,1.899,-31.202,
Sensor_0x53,613178,-0.055,-0.514,-0.28,
Sensor_0x1D,613199,9.668,-9.941,29.448,
Sensor_0x53,613211,0.025,-0.274,-0.04,
Sensor_0x1D,613232,-0.372,5.039,11.168,
Sensor_0x53,613246,0.255,0.356,0.04,
Sensor_0x1D,613266,-10.882,6.849,-38.342,
Sensor_0x53,613279,0.025,0.116,-0.43,
Sensor_0x1D,613299,7.478,-8.221,8.258,
Sensor_0x53,613313,-0.135,0.116,-0.12,
Sensor_0x1D,613333,6.218,-0.841,31.248,
Sensor_0x53,613346,0.105,0.196,0.12,
Sensor_0x1D,613366,-11.202,8.419,-27.982,
Sensor_0x53,613380,-0.055,-0.124,-0.04,
Sensor_0x1D,613400,1.438,-3.671,-14.722,
Sensor_0x53,613415,-0.055,0.036,0.04,
Sensor_0x1D,613433,8.418,-4.211,36.978,
Sensor_0x53,613448,-0.055,-0.044,0.04,
Sensor_0x1D,613467,-9.162,8.569,-17.472,
Sensor_0x53,613482,0.025,-0.044,0.04,
Sensor_0x1D,613500,-2.252,-0.611,-25.242,
Sensor_0x53,613515,-0.055,0.116,0.04,
Sensor_0x1D,613534,9.988,-8.371,34.228,
Sensor_0x53,613550,0.105,0.116,-0.2,
Sensor_0x1D,613567,-2.642,6.689,3.868,
Sensor_0x53,613583,-0.055,-0.044,-0.04,
Sensor_0x1D,613601,-9.392,5.439,-38.102,
Sensor_0x53,613617,-0.055,0.356,0.04,
Sensor_0x1D,613634,9.198,-9.941,25.678,
Sensor_0x53,613650,-0.135,-0.274,-0.04,
Sensor_0x1D,613668,0.808,3.939,15.248,
Sensor_0x53,613685,-0.055,-0.044,0.27,
Sensor_0x1D,613701,-11.592,6.929,-37.002,
Sensor_0x53,613719,-0.055,-0.194,0.35,
Sensor_0x1D,613735,6.528,-8.061,3.638,
Sensor_0x53,613752,-0.055,-0.124,-0.28,
Sensor_0x1D,613768,7.238,-2.251,34.468,
Sensor_0x53,613787,0.025,0.586,0.12,
Sensor_0x1D,613802,-10.962,8.339,-24.612,
Sensor_0x53,613820,0.255,0.036,-0.43,
Sensor_0x1D,613835,3.398,-5.231,-8.452,
Sensor_0x53,613854,-0.135,0.356,-0.12,
Sensor_0x1D,613869,8.808,-5.231,37.918,
Sensor_0x53,613887,0.025,-0.354,0.04,
Sensor_0x1D,613902,-7.902,7.949,-13.862,
Sensor_0x53,613922,-0.525,0.116,-0.04,
Sensor_0x1D,613936,-4.062,1.039,-28.532,
Sensor_0x53,613954,-0.055,-0.044,0.04,
Sensor_0x1D,613969,9.438,-7.821,36.428,
Sensor_0x53,613989,-0.055,-0.044,-0.04,
Sensor_0x1D,614002,-4.452,7.319,-1.862,
Sensor_0x53,614022,-0.055,0.116,-0.2,
Sensor_0x1D,614036,-8.062,3.789,-35.672,
Sensor_0x53,614056,0.025,0.196,0.04,
Sensor_0x1D,614069,9.038,-10.021,21.838,
Sensor_0x53,614091,0.335,-0.434,0.04,
Sensor_0x1D,614103,2.448,3.319,19.558,
Sensor_0x53,614124,-0.215,-0.194,0.04,
Sensor_0x1D,614136,-11.902,7.709,-35.752,
Sensor_0x53,614158,0.105,-0.044,-0.12,
Sensor_0x1D,614170,5.438,-7.271,-1.152,
Sensor_0x53,614191,-0.375,-0.044,0.04,
Sensor_0x1D,614203,5.668,-0.371,30.388,
Sensor_0x53,614226,0.025,-0.274,-0.04,
Sensor_0x1D,614237,-11.672,8.099,-29.162,
Sensor_0x53,614259,-0.055,-0.124,-0.12,
Sensor_0x1D,614270,2.138,-4.141,-12.762,
Sensor_0x53,614293,0.025,0.116,0.19,
Sensor_0x1D,614304,9.438,-6.251,37.608,
Sensor_0x53,614326,-0.445,-0.124,0.04,
Sensor_0x1D,614337,-7.042,8.019,-9.312,
Sensor_0x53,614361,-0.055,-0.044,0.04,
Sensor_0x1D,614371,-2.022,-1.151,-23.512,
Sensor_0x53,614394,0.025,-0.044,0.12,
Sensor_0x1D,614404,9.748,-8.371,34.548,
Sensor_0x53,614428,-0.055,-0.044,0.04,
Sensor_0x1D,614438,-6.412,8.019,-7.902,
Sensor_0x53,614461,0.175,0.036,-0.2,
Sensor_0x1D,614471,-6.332,2.689,-32.922,
Sensor_0x53,614496,-0.135,-0.044,-0.2,
Sensor_0x1D,614504,8.888,-9.861,26.698,
Sensor_0x53,614529,-0.055,0.036,0.27,
Sensor_0x1D,614538,0.648,4.339,13.518,
Sensor_0x53,614563,-0.135,0.116,-0.04,
Sensor_0x1D,614571,-9.712,5.119,-37.632,
Sensor_0x53,614598,0.105,0.116,-0.12,
Sensor_0x1D,614605,8.178,-9.241,15.478,
Sensor_0x53,614631,-0.055,-0.194,-0.12,
Sensor_0x1D,614639,4.258,1.429,25.838,
Sensor_0x53,614666,-0.055,0.116,-0.28,
Sensor_0x1D,614672,-11.902,7.079,-37.082,
Sensor_0x53,614698,-0.055,0.196,0.12,
Sensor_0x1D,614705,8.098,-9.161,13.598,
Sensor_0x53,614733,-0.295,-0.194,-0.04,
Sensor_0x1D,614739,4.968,0.809,27.958,
Sensor_0x53,614766,0.415,0.116,-0.04,
Sensor_0x1D,614771,-0.132,-1.941,-19.982,
Sensor_0x53,614800,-0.055,0.116,0.43,
Sensor_0x1D,614804,9.668,-7.981,35.798,
Sensor_0x53,614833,0.105,0.116,-0.2,
Sensor_0x1D,614839,8.028,-2.651,35.878,
Sensor_0x53,614868,0.175,-0.514,-0.12,
Sensor_0x1D,614871,-5.002,1.509,-30.732,
Sensor_0x53,614901,-0.604,-0.274,-0.04,
Sensor_0x1D,614904,9.588,-9.941,29.128,
Sensor_0x53,614935,0.025,-0.194,0.19,
Sensor_0x1D,614938,-3.742,6.929,0.968,
Sensor_0x53,614968,0.105,-0.354,0.04,
Sensor_0x1D,614971,-9.392,4.489,-37.242,
Sensor_0x53,615003,0.335,0.116,-0.04,
Sensor_0x1D,615005,9.198,-9.781,27.328,
Sensor_0x53,615036,0.025,0.116,0.04,
Sensor_0x1D,615038,0.178,4.889,13.678,
Sensor_0x53,615070,0.105,-0.124,0.12,
Sensor_0x1D,615072,-11.352,6.929,-37.552,
Sensor_0x53,615103,0.255,0.116,0.19,
Sensor_0x1D,615107,-9.472,5.439,-37.942,
Sensor_0x53,615137,0.025,0.116,-0.04,
Sensor_0x1D,615140,8.568,-9.241,15.718,
Sensor_0x53,615170,-0.135,0.116,0.12,
Sensor_0x1D,615172,-10.732,8.569,-24.222,
Sensor_0x53,615205,-0.055,0.506,-0.04,
Sensor_0x1D,615206,-0.062,-2.491,-18.882,
Sensor_0x53,615239,0.025,0.116,0.12,
Sensor_0x1D,615239,9.668,-7.741,36.508,
Sensor_0x53,615272,0.335,0.116,-0.28,
Sensor_0x1D,615273,-7.902,8.489,-12.292,
Sensor_0x1D,615306,-4.762,1.279,-29.792,
Sensor_0x53,615307,-0.055,-0.124,0.04,
Sensor_0x53,615340,0.025,-0.044,0.12,
Sensor_0x1D,615340,9.588,-8.221,36.038,
Sensor_0x1D,615373,-4.062,7.319,0.258,
Sensor_0x53,615374,0.025,0.116,0.19,
Sensor_0x1D,615406,-5.392,1.899,-31.202,
Sensor_0x53,615407,-0.055,-0.044,0.27,
Sensor_0x1D,615440,9.278,-9.391,28.978,
Sensor_0x53,615441,0.025,0.116,-0.36,
Sensor_0x1D,615473,-3.902,6.609,1.518,
Sensor_0x53,615476,-0.055,-0.044,0.04,
Sensor_0x1D,615507,-9.162,4.729,-37.402,
Sensor_0x53,615509,-0.055,-0.044,-0.04,
Sensor_0x1D,615540,8.968,-9.391,17.358,
Sensor_0x53,615543,0.105,0.116,-0.2,
Sensor_0x1D,615574,3.708,1.979,24.188,
Sensor_0x53,615576,0.175,-0.124,-0.28,
Sensor_0x1D,615607,-11.902,7.869,-33.162,
Sensor_0x53,615610,0.255,0.116,0.04,
Sensor_0x1D,615641,6.458,-8.291,4.338,
Sensor_0x53,615644,-0.055,0.116,0.04,
Sensor_0x1D,615674,6.928,-1.781,33.918,
Sensor_0x53,615678,-0.604,-0.434,-0.12,
Sensor_0x1D,615708,-10.732,8.569,-24.762,
Sensor_0x53,615711,-0.295,-0.194,-0.2,
Sensor_0x1D,615741,0.338,-2.571,-18.492,
Sensor_0x53,615745,0.105,0.116,-0.04,
Sensor_0x1D,615775,8.728,-5.311,37.758,
Sensor_0x53,615778,0.175,0.116,0.12,
Sensor_0x1D,615808,-5.082,7.469,-3.352,
Sensor_0x53,615813,0.175,0.116,0.04,
Sensor_0x1D,615842,-4.212,0.959,-29.162,
Sensor_0x53,615847,-0.215,-0.124,0.04,
Sensor_0x1D,615875,9.588,-9.391,30.618,
Sensor_0x53,615880,-0.055,-0.044,0.12,
Sensor_0x1D,615909,-1.392,5.669,9.598,
Sensor_0x53,615913,0.025,-0.124,-0.04,
Sensor_0x1D,615942,-10.732,6.059,-38.102,
Sensor_0x53,615948,-0.055,-0.044,-0.04,
Sensor_0x1D,615975,8.968,-9.861,19.878,
Sensor_0x53,615981,0.105,0.116,0.12,
Sensor_0x1D,616009,2.998,2.529,22.148,
Sensor_0x53,616015,0.255,0.116,-0.12,
Sensor_0x1D,616042,-11.432,6.529,-37.872,
Sensor_0x53,616049,-0.055,-0.044,-0.04,
Sensor_0x1D,616076,6.928,-8.221,6.538,
Sensor_0x53,616082,-0.055,0.116,0.12,
Sensor_0x1D,616109,3.548,1.589,24.498,
Sensor_0x53,616117,-0.135,-0.194,0.04,
Sensor_0x1D,616143,-11.902,7.869,-32.852,
Sensor_0x53,616150,0.255,0.116,0.04,
Sensor_0x1D,616176,4.018,-5.781,-6.962,
Sensor_0x53,616184,0.105,-0.274,-0.04,
Sensor_0x1D,616210,8.338,-4.921,37.998,
Sensor_0x53,616217,0.105,0.116,0.12,
Sensor_0x1D,616243,-8.692,8.259,-14.252,
Sensor_0x53,616252,0.255,0.036,0.35,
Sensor_0x1D,616277,-0.372,-2.491,-19.512,
Sensor_0x53,616285,-0.055,0.116,0.04,
Sensor_0x1D,616310,9.358,-7.821,36.188,
Sensor_0x53,616319,-0.375,-0.044,0.04,
Sensor_0x1D,616344,-4.532,7.399,-1.782,
Sensor_0x53,616352,-0.135,0.116,-0.04,
Sensor_0x1D,616377,-8.372,3.709,-36.382,
Sensor_0x53,616387,0.175,0.116,0.51,
Sensor_0x1D,616411,8.728,-9.711,20.268,
Sensor_0x53,616420,-0.055,0.196,0.04,
Sensor_0x1D,616444,2.998,2.919,20.818,
Sensor_0x53,616454,0.495,0.116,0.19,
Sensor_0x1D,616478,-11.202,6.689,-38.022,
Sensor_0x53,616487,0.335,-0.194,0.04,
Sensor_0x1D,616511,7.158,-8.451,7.318,
Sensor_0x53,616522,-0.055,0.036,-0.51,
Sensor_0x1D,616544,3.868,2.219,23.558,
Sensor_0x53,616555,0.025,0.036,-0.2,
Sensor_0x1D,616578,-11.822,6.689,-37.322,
Sensor_0x53,616589,-0.135,-0.194,0.04,
Sensor_0x1D,616611,6.768,-8.611,4.968,
Sensor_0x53,616622,-0.055,0.116,0.04,
Sensor_0x1D,616644,0.728,4.019,15.398,
Sensor_0x53,616657,-0.135,-0.124,-0.04,
Sensor_0x1D,616678,-11.752,7.949,-32.302,
Sensor_0x53,616690,-0.295,-0.044,0.04,
Sensor_0x1D,616711,5.988,-7.981,2.298,
Sensor_0x53,616724,0.105,0.116,0.04,
Sensor_0x1D,616745,7.318,-2.881,34.778,
Sensor_0x53,616758,0.105,0.116,-0.36,
Sensor_0x1D,616778,-11.672,8.179,-30.962,
Sensor_0x53,616791,0.105,0.036,0.04,
Sensor_0x1D,616812,2.688,-4.531,-11.042,
Sensor_0x53,616826,-0.215,-0.044,0.04,
Sensor_0x1D,616845,8.728,-5.861,37.918,
Sensor_0x53,616859,0.025,-0.194,-0.04,
Sensor_0x1D,616878,-9.782,8.489,-20.212,
Sensor_0x53,616893,0.025,0.116,0.04,
Sensor_0x1D,616912,-1.622,-1.231,-23.042,
Sensor_0x53,616926,-0.055,-0.044,0.35,
Sensor_0x1D,616945,9.908,-8.451,34.698,
Sensor_0x53,616961,-0.055,-0.194,-0.12,
Sensor_0x1D,616979,-6.172,8.179,-7.822,
Sensor_0x53,616994,-0.135,-0.194,-0.04,
Sensor_0x1D,617012,-2.332,-0.451,-25.082,
Sensor_0x53,617028,-0.295,0.116,-0.28,
Sensor_0x1D,617045,9.748,-8.761,33.918,
